[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
4.4_angles.xlsx,LeftElbow,-0.49,0.37,1971.6,1714.96
4.4_angles.xlsx,RightElbow,-0.54,0.53,539.65,180.81
4.4_angles.xlsx,LeftHip,-0.12,0.15,413.6,1110.84
4.4_angles.xlsx,RightHip,-0.2,0.31,478.33,435.18
4.4_angles.xlsx,LeftKnee,-0.5,0.52,1474.22,1699.06
4.4_angles.xlsx,RightKnee,-0.47,0.37,188.76,1269.82
4.4_angles.xlsx,LeftAnkle,-3.1,3.23,937.1,977.98
4.4_angles.xlsx,RightAnkle,-1.43,1.95,208.06,1174.43
4.5_angles.xlsx,LeftShoulder,-0.16,0.18,783.12,2113.0
4.5_angles.xlsx,RightShoulder,-0.15,0.24,2113.0,1249.82
4.5_angles.xlsx,LeftElbow,-0.54,0.29,2045.89,776.92
4.5_angles.xlsx,RightElbow,-0.6,0.5,413.48,374.24
4.5_angles.xlsx,LeftHip,-0.27,0.18,518.79,913.22
4.5_angles.xlsx,RightHip,-0.22,0.16,916.31,719.1
4.5_angles.xlsx,LeftKnee,-0.54,0.6,1274.6,805.83
4.5_angles.xlsx,RightKnee,-0.82,0.53,950.39,1162.05
4.5_angles.xlsx,LeftAnkle,-2.38,2.27,351.53,1348.94
4.5_angles.xlsx,RightAnkle,-1.53,1.87,282.35,1047.44
5,2_angles.xlsx,LeftShoulder,-0.15,0.16,1410.13,1708.68
5,2_angles.xlsx,RightShoulder,-0.17,0.21,1708.68,2145.57
5,2_angles.xlsx,LeftElbow,-0.3,0.28,2211.11,2347.64
5,2_angles.xlsx,RightElbow,-0.34,0.22,1641.32,1588.53
5,2_angles.xlsx,LeftHip,-0.14,0.33,2414.99,3479.93
5,2_angles.xlsx,RightHip,-0.15,0.12,1013.28,1410.13
5,2_angles.xlsx,LeftKnee,-0.4,0.62,2411.35,1586.71
5,2_angles.xlsx,RightKnee,-0.62,0.66,749.32,2147.39
5,2_angles.xlsx,LeftAnkle,-2.23,3.11,246.89,2478.71
5,2_angles.xlsx,RightAnkle,-1.31,2.21,1075.17,1979.92
5.1_angles.xlsx,LeftShoulder,-0.09,0.11,1646.03,1210.63
5.1_angles.xlsx,RightShoulder,-0.13,0.12,2179.06,1983.81
