[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
3.4_angles.xlsx,RightAnkle,-1.49,1.38,5473.54,4142.04
3.5_angles.xlsx,LeftShoulder,-0.36,0.27,3179.12,3047.79
3.5_angles.xlsx,RightShoulder,-0.3,0.34,3008.39,3067.49
3.5_angles.xlsx,LeftElbow,-0.26,0.24,4216.59,1849.44
3.5_angles.xlsx,RightElbow,-0.41,0.43,2804.84,1343.84
3.5_angles.xlsx,LeftHip,-0.22,0.15,3615.77,2739.18
3.5_angles.xlsx,RightHip,-0.35,0.18,3041.23,3097.04
3.5_angles.xlsx,LeftKnee,-0.36,0.6,2735.89,3047.79
3.5_angles.xlsx,RightKnee,-0.3,0.6,2706.34,3044.51
3.5_angles.xlsx,LeftAnkle,-1.42,1.36,2847.52,4377.46
3.5_angles.xlsx,RightAnkle,-1.31,1.29,4180.48,3037.94
3.6_angles.xlsx,LeftShoulder,-0.29,0.38,3139.23,4704.37
3.6_angles.xlsx,RightShoulder,-0.36,0.27,1399.72,6236.3
3.6_angles.xlsx,LeftElbow,-0.35,0.31,1399.72,6003.81
3.6_angles.xlsx,RightElbow,-0.3,0.23,4006.91,1403.87
3.6_angles.xlsx,LeftHip,-0.32,0.37,7735.02,3330.2
3.6_angles.xlsx,RightHip,-0.66,1.02,1428.78,1474.45
3.6_angles.xlsx,LeftKnee,-0.67,1.04,5119.53,5069.71
3.6_angles.xlsx,RightKnee,-0.66,0.61,6472.94,3267.93
3.6_angles.xlsx,LeftAnkle,-1.2,1.16,6510.31,6468.79
3.6_angles.xlsx,RightAnkle,-1.3,1.68,7103.98,1603.14
4.1_angles.xlsx,LeftShoulder,-0.48,0.45,884.95,782.9
4.1_angles.xlsx,RightShoulder,-0.67,0.52,4614.83,381.76
4.1_angles.xlsx,LeftElbow,-0.4,0.5,2848.41,2887.12
4.1_angles.xlsx,RightElbow,-0.66,0.4,4607.79,4657.06
4.1_angles.xlsx,LeftHip,-0.37,0.17,3654.21,1514.8
